FeatureType,date,IMONum,deaths,missings,severeInjuries,description,latitude,longitude,subtype_field,subtype_value,gml_pos
CollisionAndContact,20240911,평안호,0,0,0,낚시어선 평안호 부유물감김사건,37.4925,126.6192,collisionAndContactType,floating object entanglement,126.6192 37.4925
CollisionAndContact,20240910,신출항호,0,0,1,낚시어선 신출항호 안벽접촉사건,36.6236,126.2861,collisionAndContactType,contact,126.2861 36.6236
NavigationalIssues,20240910,태명호,0,0,0,어선 태명호 운항저해사건,36.0081,126.6592,navigationalIssuesType,sailing hinderance,126.6592 36.0081
CollisionAndContact,20240910,영진호,0,0,0,모터보트 영진호 부유물감김사건,37.1767,126.6081,collisionAndContactType,floating object entanglement,126.6081 37.1767
HullAndEngineAccessoryDamage,20240910,세찬파파,0,0,0,모터보트 세찬파파호 기관손상사건,36.2189,126.5231,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.5231 36.2189
HullAndEngineAccessoryDamage,20240910,몬스터호,0,0,0,모터보트 몬스터호 기관손상사건,36.4231,126.4914,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.4914 36.4231
HullAndEngineAccessoryDamage,20240910,세주2호,0,0,0,어선 세주2호 추진축계 손상사건,35.5667,126.2333,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.2333 35.5667
HullAndEngineAccessoryDamage,20240910,반석호,0,0,0,어선 반석호 기관손상사건,35.6167,126.25,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.25 35.6167
OtherIncident,20240910,케이엠엠비1500호,0,0,0,부선 케이엠엠비1500호 해양오염사건,35.9761,126.5517,otherIncidentType,other incident,126.5517 35.9761
CollisionAndContact,20240910,인천365호,0,0,0,낚시어선 인천365호 부유물감김사건,37.3167,126.3,collisionAndContactType,floating object entanglement,126.3 37.3167
FloodingAndSinking,20240909,노블호,0,0,0,어선 노블호 침수사건,35.8228,126.4681,floodingAndSinkingType,flooding,126.4681 35.8228
HullAndEngineAccessoryDamage,20240908,동원호,0,0,0,어선 동원호 기관손상사건,36.9667,124.9667,hullAndEngineAccessoryDamageType,machineries and propulsion damage,124.9667 36.9667
CollisionAndContact,20240908,갈릴리,0,0,0,어선 갈릴리호 부유물감김사건,36.2333,125.6833,collisionAndContactType,floating object entanglement,125.6833 36.2333
OtherIncident,20240907,상록8호,0,0,0,이접안용예선 상록8호 해양오염사고,37.0181,126.4181,otherIncidentType,other incident,126.4181 37.0181
FloodingAndSinking,20240908,스마트호,0,0,0,무등록선 스마트호 침수사건,37.4225,126.6011,floodingAndSinkingType,flooding,126.6011 37.4225
